68016,10 de Abril (Colonia)
68120,5 Senores (Colonia)
68023,7 Regiones (Colonia)
68274,7 Regiones Ampliacion (Colonia)
68274,9 de Mayo (Colonia)
68030,Adolfo Lopez Mateos (Colonia)
68013,Adolfo Lopez Mateos Zona Noreste (Colonia)
68050,America Norte (Colonia)
68104,America Sur (Colonia)
68028,Ampliacion Dolores (Colonia)
68023,Ampliacion Jardin (Colonia)
68023,Ampliacion Siete Regiones Parte Norte (Colonia)
68020,Ampliacion Volcanes (Colonia)
68284,Arbolada Ilusion (Colonia)
68090,Arboleda (Colonia)
68144,Arboledas (Fraccionamiento)
68280,Arroyo Loma de Trigo (Ejido)
68103,Articulo 123 Oriente (Colonia)
68090,Articulo 123 Poniente (Colonia)
68045,Aurora (Colonia)
68045,Aurora (Fraccionamiento)
68144,Azucena (Colonia)
68070,Azucenas (Colonia)
68030,Benito Juarez (Colonia)
68103,Benito Juarez (Unidad habitacional)
68026,Bosque San Felipe (Colonia)
68016,Buena Vista (Colonia)
68013,Bugambilias (Colonia)
68010,Bugambilias (Fraccionamiento)
68150,California (Colonia)
68278,Camino Ancho (Ejido)
68130,Candiani (Colonia)
68023,Casa del Sol (Fraccionamiento)
68023,Casas del Sol (Ejido)
68133,Centro Comercial Plaza del Valle (Zona comercial)
68067,Cerro Del Fortin (Colonia)
68044,Colinas de La Soledad (Fraccionamiento)
68159,Colinas de Monte Alban (Unidad habitacional)
68274,Constituyentes (Colonia)
68026,Consuelo Ruiz (Colonia)
68090,Cosijoeza (Colonia)
68030,Cuauhtemoc (Colonia)
68024,Del ISSSTE (Fraccionamiento)
68016,Del Maestro (Colonia)
68033,Del Periodista (Colonia)
68157,Del Rosario (Colonia)
68155,Del Valle (Colonia)
68040,Diaz Ordaz (Colonia)
68028,Dolores (Colonia)
68023,Donaji (Colonia)
68010,Educacion (Colonia)
68144,Ejidal (Colonia)
68280,Ejido Guadalupe Victoria (Ejido)
68126,El Arenal (Colonia)
68140,El Arroyo (Colonia)
68280,El Bajio (Rancho Guadalupe Victoria) (Rancheria)
68045,El Centenario (Colonia)
68050,El Chopo (Fraccionamiento)
68153,El Coquito (Barrio)
68045,El Encinal (Fraccionamiento)
68274,El Manantial (Colonia)
68016,El Paraiso (Colonia)
68034,El Pasajuego (Colonia)
68280,El Pedregal (Ejido)
68075,El Penasco (Barrio)
68044,El Retiro (Fraccionamiento)
68156,El Rosario Parte Alta (Barrio)
68153,El Rosario Parte Baja (Barrio)
68284,El Silencio (Ejido)
68010,Elsa (Fraccionamiento)
68148,Emiliano Zapata (Colonia)
68277,Emiliano Zapata (Parte Alta) (Ejido)
68144,Estado de Oaxaca (Colonia)
68045,Estrella (Colonia)
68274,Eucaliptos (Colonia)
68013,Ex Hacienda Santa Rosa 1a Seccion (Colonia)
68034,Ex-Marquezado (Barrio)
68013,Exhacienda Santa Rosa 2a Seccion (Colonia)
68060,Faldas del Fortin (Colonia)
68060,Flavio Perez Gazga (Fraccionamiento)
68027,FOVISSSTE (Unidad habitacional)
68140,Fraccion Poniente San Martin Mexicapan (Colonia)
68033,Francisco I. Madero (Colonia)
68283,Gloria Antonio Cruz (Ejido)
68024,Guadalupe Victoria (Colonia)
68280,Guadalupe Victoria (Ejido)
68043,Guadalupe Victoria Seccion Oeste 1 Sector (Colonia)
68043,Guadalupe Victoria Seccion Oeste 2 Sector (Colonia)
68277,Guadalupe Victoria Segunda Seccion (La Mina) (Ejido)
68070,Guelaguetza (Colonia)
68080,Hacienda (Fraccionamiento)
68013,Heladio Ramirez Lopez (Colonia)
68016,Hoteleros (Colonia)
68143,I.V.O. Montoya (Fraccionamiento)
68080,Independencia (Fraccionamiento)
68027,INFONAVIT 1ro. de Mayo (Unidad habitacional)
68275,Insurgentes (Colonia)
68024,Issste (Unidad habitacional)
68146,Itandehui (Colonia)
68144,Jacarandas (Fraccionamiento)
68080,Jalatlaco (Barrio)
68023,Jardin (Colonia)
68149,Jardines (Colonia)
68154,Jardines de La Sierra (Fraccionamiento)
68143,Jardines de las Lomas (Fraccionamiento)
68125,Jardines del Valle (Fraccionamiento)
68115,Jose Vasconcelos (Colonia)
68040,La Cascada (Colonia)
68040,La Cascada (Fraccionamiento)
68026,La Chigulera (Barrio)
68127,La Cieneguita (Colonia)
68090,La Compuerta (Fraccionamiento)
68153,La Cuevita (Barrio)
68153,La Fundicion (Barrio)
68154,La Fundicion (Fraccionamiento)
68144,La Joya (Colonia)
68040,La Loma (Fraccionamiento)
68045,La Loma Ampliacion (Fraccionamiento)
68050,La Luz (Fraccionamiento)
68083,La Noria (Barrio)
68070,La Paz (Fraccionamiento)
68044,La Paz San Felipe (Colonia)
68157,La Soledad (Barrio)
68016,La Soledad (Colonia)
68280,Lachigulera (Ejido)
68157,Las Campanas (Fraccionamiento)
68157,Las Palmas (Fraccionamiento)
68155,Las Penas (Colonia)
68140,Lazaro Cardenas 1a Secc (Colonia)
68146,Lazaro Cardenas 2a Secc (Colonia)
68153,Leonardo Rodriguez Alcaine Etapa I (Fraccionamiento)
68153,Leonardo Rodriguez Alcaine Etapa II (Fraccionamiento)
68090,Libertad (Colonia)
68030,Lindavista (Colonia)
68016,Loma Bonita (Colonia)
68024,Loma Linda (Colonia)
68026,Loma Oaxaca (Colonia)
68026,Loma San Felipe (Colonia)
68280,Loma Trigo (Ejido)
68013,Lomas San Jacinto (Colonia)
68040,Lomas de Antequera (Fraccionamiento)
68040,Lomas de la Cascada (Fraccionamiento)
68045,Lomas de las Azucenas (Colonia)
68146,Lomas de los Pinos (Colonia)
68043,Lomas de Microondas (Colonia)
68043,Lomas de San Jacinto Secror uno (Colonia)
68150,Lomas de San Juan (Fraccionamiento)
